seq_id,uniprot_id,protein_names,gene_names,length,function_cc,subcellular_location_cc,tissue_specificity,involvement_in_disease,doug_name,nucleus,cytoplasm,mitochondria,er,golgi,lysosome,secreted,endosome,plasma_membrane,junction,peroxisome,membrane,cilium,cytoskeleton,lnc_rna,ribosomal,transcription_factor,gene_symbol,entrez_gene_id_pete,uni_gene_id_pete,ensembl_id_pete,tigrid_pete,go_pete,description_pete,genomic_coordinates_pete,cytoband_pete,gene_name_pete,pete_list
1013_NEFH_4744,P12036,neurofilament heavy polypeptide (nf-h) (200 kda neurofilament protein) (neurofilament triplet h protein),NEFH KIAA0845 NFH,1026,"function: neurofilaments usually contain three intermediate filament proteins: l, m, and h which are involved in the maintenance of neuronal caliber. nf-h has an important function in mature axons that is not subserved by the two smaller nf proteins.",subcellular location: cytoplasm {eco:0000269|pubmed:27040688}.,NA,"DISEASE: Amyotrophic lateral sclerosis (ALS) [MIM:105400]: A neurodegenerative disorder affecting upper motor neurons in the brain and lower motor neurons in the brain stem and spinal cord, resulting in fatal paralysis. Sensory abnormalities are absent. The pathologic hallmarks of the disease include pallor of the corticospinal tract due to loss of motor neurons, presence of ubiquitin-positive inclusions within surviving motor neurons, and deposition of pathologic aggregates. The etiology of amyotrophic lateral sclerosis is likely to be multifactorial, involving both genetic and environmental factors. The disease is inherited in 5-10% of the cases. {ECO:0000269|PubMed:7849698}. Note=Disease susceptibility is associated with variations affecting the gene represented in this entry.; DISEASE: Charcot-Marie-Tooth disease 2CC (CMT2CC) [MIM:616924]: An axonal form of Charcot-Marie-Tooth disease, a disorder of the peripheral nervous system, characterized by progressive weakness and atrophy, initially of the peroneal muscles and later of the distal muscles of the arms. Charcot-Marie-Tooth disease is classified in two main groups on the basis of electrophysiologic properties and histopathology: primary peripheral demyelinating neuropathies (designated CMT1 when they are dominantly inherited) and primary peripheral axonal neuropathies (CMT2). Neuropathies of the CMT2 group are characterized by signs of axonal degeneration in the absence of obvious myelin alterations, normal or slightly reduced nerve conduction velocities, and progressive distal muscle weakness and atrophy. {ECO:0000269|PubMed:27040688}. Note=The disease is caused by mutations affecting the gene represented in this entry.",NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NEFH,4744,Hs.198760,ENST00000310624,NP1158150,GO:0000226(microtubule cytoskeleton organization)|GO:0003674(molecular_function)|GO:0005739(mitochondrion)|GO:0005883(neurofilament)|GO:0007399(nervous system development)|GO:0008219(cell death)|GO:0030424(axon)|GO:0045104(intermediate filament cytoskeleton organization),"Homo sapiens neurofilament, heavy polypeptide (NEFH), mRNA [NM_021076]",chr22:29887194-29887253,hs|22q12.2,"neurofilament, heavy polypeptide",TRUE
1014_RAP1B_5908,P61224,ras-related protein rap-1b (gtp-binding protein smg p21b),RAP1B OK/SW-cl.11,184,"function: gtp-binding protein that possesses intrinsic gtpase activity. contributes to the polarizing activity of krit1 and cdh5 in the establishment and maintenance of correct endothelial cell polarity and vascular lumen. required for the localization of phosphorylated prkcz, pard3 and tiam1 to the cell junction. plays a role in the establishment of basal endothelial barrier function. {eco:0000269|pubmed:18660803, eco:0000269|pubmed:20332120, eco:0000269|pubmed:21840392}.","subcellular location: cell membrane. cytoplasm, cytosol. cell junction. note=may shuttle between plasma membrane and cytosol. presence of krit1 and cdh5 is required for its localization to the cell junction.",NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,RAP1B,5908,Hs.369920,ENST00000393436,THC2498739,GO:0000166(nucleotide binding)|GO:0003924(GTPase activity)|GO:0005515(protein binding)|GO:0005525(GTP binding)|GO:0005622(intracellular)|GO:0005737(cytoplasm)|GO:0005829(cytosol)|GO:0005886(plasma membrane)|GO:0005911(cell-cell junction)|GO:0006112(energy reserve metabolic process)|GO:0006184(GTP catabolic process)|GO:0007165(signal transduction)|GO:0007264(small GTPase mediated signal transduction)|GO:0007596(blood coagulation)|GO:0008283(cell proliferation)|GO:0016020(membrane)|GO:0019003(GDP binding)|GO:0050796(regulation of insulin secretion)|GO:2000114(regulation of establishment of cell polarity),"Homo sapiens RAP1B, member of RAS oncogene family (RAP1B), transcript variant 1, mRNA [NM_015646]",chr12:69054229-69054288,hs|12q15,"RAP1B, member of RAS oncogene family",TRUE
1015_MCCC1_56922,Q96RQ3,"methylcrotonoyl-coa carboxylase subunit alpha, mitochondrial (mccase subunit alpha) (ec 6.4.1.4) (3-methylcrotonyl-coa carboxylase 1) (3-methylcrotonyl-coa carboxylase biotin-containing subunit) (3-methylcrotonyl-coa:carbon dioxide ligase subunit alpha)",MCCC1 MCCA,725,"function: biotin-attachment subunit of the 3-methylcrotonyl-coa carboxylase, an enzyme that catalyzes the conversion of 3-methylcrotonyl-coa to 3-methylglutaconyl-coa, a critical step for leucine and isovaleric acid catabolism. {eco:0000269|pubmed:17360195}.",subcellular location: mitochondrion matrix {eco:0000269|pubmed:16023992}.,NA,"DISEASE: 3-methylcrotonoyl-CoA carboxylase 1 deficiency (MCC1D) [MIM:210200]: An autosomal recessive disorder of leucine catabolism. The phenotype is variable, ranging from neonatal onset with severe neurological involvement to asymptomatic adults. There is a characteristic organic aciduria with massive excretion of 3-hydroxyisovaleric acid and 3-methylcrotonylglycine, usually in combination with a severe secondary carnitine deficiency. {ECO:0000269|PubMed:11170888, ECO:0000269|PubMed:11181649, ECO:0000269|PubMed:11406611, ECO:0000269|PubMed:16010683, ECO:0000269|PubMed:17968484, ECO:0000269|PubMed:21071250, ECO:0000269|PubMed:22150417, ECO:0000269|PubMed:22264772, ECO:0000269|PubMed:22642865, ECO:0000269|PubMed:25382614, ECO:0000269|PubMed:27601257, ECO:0000269|Ref.6}. Note=The disease is caused by mutations affecting the gene represented in this entry.",NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,MCCC1,56922,Hs.47649,ENST00000497830,THC2607681,GO:0000166(nucleotide binding)|GO:0004075(biotin carboxylase activity)|GO:0004485(methylcrotonoyl-CoA carboxylase activity)|GO:0005524(ATP binding)|GO:0005739(mitochondrion)|GO:0005743(mitochondrial inner membrane)|GO:0005759(mitochondrial matrix)|GO:0006552(leucine catabolic process)|GO:0006768(biotin metabolic process)|GO:0009083(branched chain family amino acid catabolic process)|GO:0009374(biotin binding)|GO:0016874(ligase activity)|GO:0034641(cellular nitrogen compound metabolic process)|GO:0046872(metal ion binding),"Homo sapiens methylcrotonoyl-CoA carboxylase 1 (alpha) (MCCC1), nuclear gene encoding mitochondrial protein, mRNA [NM_020166]",chr3:182733114-182733055,hs|3q27.1,methylcrotonoyl-CoA carboxylase 1 (alpha),TRUE
1017_MT1E_4493,P04732,metallothionein-1e (mt-1e) (metallothionein-ie) (mt-ie),MT1E,61,function: metallothioneins have a high content of cysteine residues that bind various heavy metals; these proteins are transcriptionally regulated by both heavy metals and glucocorticoids.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,MT1E,4493,Hs.534330,ENST00000330439,THC2497960,GO:0005507(copper ion binding)|GO:0005634(nucleus)|GO:0005737(cytoplasm)|GO:0008270(zinc ion binding)|GO:0045926(negative regulation of growth)|GO:0046870(cadmium ion binding)|GO:0046872(metal ion binding)|GO:0048471(perinuclear region of cytoplasm)|GO:0071276(cellular response to cadmium ion)|GO:0071294(cellular response to zinc ion),"Homo sapiens metallothionein 1E (MT1E), mRNA [NM_175617]",chr16:56660853-56660912,hs|16q12.2,metallothionein 1E,TRUE
1018_KRT8_3856,P05787,"keratin, type ii cytoskeletal 8 (cytokeratin-8) (ck-8) (keratin-8) (k8) (type-ii keratin kb8)",KRT8 CYK8,483,"function: together with krt19, helps to link the contractile apparatus to dystrophin at the costameres of striated muscle. {eco:0000269|pubmed:16000376}.","subcellular location: cytoplasm {eco:0000269|pubmed:10973561, eco:0000269|pubmed:19188445}. nucleus, nucleoplasm {eco:0000250}. nucleus matrix {eco:0000250}.","TISSUE SPECIFICITY: Observed in muscle fibers accumulating in the costameres of myoplasm at the sarcolemma membrane in structures that contain dystrophin and spectrin. Expressed in gingival mucosa and hard palate of the oral cavity. {ECO:0000269|PubMed:10973561, ECO:0000269|PubMed:16000376}.","DISEASE: Cirrhosis (CIRRH) [MIM:215600]: A liver disease characterized by severe panlobular liver-cell swelling with Mallory body formation, prominent pericellular fibrosis, and marked deposits of copper. Clinical features include abdomen swelling, jaundice and pulmonary hypertension. {ECO:0000269|PubMed:12724528}. Note=The disease is caused by mutations affecting the gene represented in this entry.",NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,KRT8,3856,Hs.533782,ENST00000550170,THC2514651,GO:0005198(structural molecule activity)|GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0005654(nucleoplasm)|GO:0005737(cytoplasm)|GO:0005882(intermediate filament)|GO:0007010(cytoskeleton organization)|GO:0016363(nuclear matrix)|GO:0044419(interspecies interaction between organisms)|GO:0045095(keratin filament),"Homo sapiens keratin 8 (KRT8), mRNA [NM_002273]",chr12:53291085-53291026,hs|12q13.13,keratin 8,TRUE
1019_PEA15_8682,Q15121,astrocytic phosphoprotein pea-15 (15 kda phosphoprotein enriched in astrocytes) (phosphoprotein enriched in diabetes) (ped),PEA15,130,"function: blocks ras-mediated inhibition of integrin activation and modulates the erk map kinase cascade. inhibits rps6ka3 activities by retaining it in the cytoplasm (by similarity). inhibits both tnfrsf6- and tnfrsf1a-mediated casp8 activity and apoptosis. regulates glucose transport by controlling both the content of slc2a1 glucose transporters on the plasma membrane and the insulin-dependent trafficking of slc2a4 from the cell interior to the surface. {eco:0000250, eco:0000269|pubmed:10442631, eco:0000269|pubmed:9670003}.",subcellular location: cytoplasm. note=associated with microtubules.,"TISSUE SPECIFICITY: Ubiquitously expressed. Most abundant in tissues such as heart, brain, muscle and adipose tissue which utilize glucose as an energy source. Lower expression in glucose-producing tissues. Higher levels of expression are found in tissues from individuals with type 2 diabetes than in controls. {ECO:0000269|PubMed:9670003}.",NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PEA15,8682,Hs.517216,ENST00000368076,THC2501738,GO:0005515(protein binding)|GO:0005737(cytoplasm)|GO:0005875(microtubule associated complex)|GO:0006810(transport)|GO:0006916(anti-apoptosis)|GO:0008643(carbohydrate transport)|GO:0042981(regulation of apoptosis)|GO:0043278(response to morphine)|GO:0046325(negative regulation of glucose import),"Homo sapiens phosphoprotein enriched in astrocytes 15 (PEA15), mRNA [NM_003768]",chr1:160184975-160185034,hs|1q23.2,phosphoprotein enriched in astrocytes 15,TRUE
102_LAPTM4A_9741,Q15012,lysosomal-associated transmembrane protein 4a (golgi 4-transmembrane-spanning transporter mtp),LAPTM4A KIAA0108 LAPTM4 MBNT MTRP UNQ1846/PRO3574,233,function: may function in the transport of nucleosides and/or nucleoside derivatives between the cytosol and the lumen of an intracellular membrane-bound compartment. {eco:0000250}.,subcellular location: endomembrane system {eco:0000305}; multi-pass membrane protein {eco:0000305}. note=may reside in an intracellular membrane-bound compartment. {eco:0000305}.,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,LAPTM4A,9741,Hs.467807,ENST00000175091,THC2778844,GO:0005794(Golgi apparatus)|GO:0006810(transport)|GO:0012505(endomembrane system)|GO:0016020(membrane)|GO:0016021(integral to membrane),"Homo sapiens lysosomal protein transmembrane 4 alpha (LAPTM4A), mRNA [NM_014713]",chr2:20232535-20232476,hs|2p24.1,lysosomal protein transmembrane 4 alpha,TRUE
1020_NDUFA3_4696,O95167,nadh dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3 (complex i-b9) (ci-b9) (nadh-ubiquinone oxidoreductase b9 subunit),NDUFA3,84,"function: accessory subunit of the mitochondrial membrane respiratory chain nadh dehydrogenase (complex i), that is believed not to be involved in catalysis. complex i functions in the transfer of electrons from nadh to the respiratory chain. the immediate electron acceptor for the enzyme is believed to be ubiquinone. {eco:0000269|pubmed:27626371}.",subcellular location: mitochondrion inner membrane {eco:0000305|pubmed:12611891}; single-pass membrane protein {eco:0000255}.,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NDUFA3,4696,Hs.198269,ENST00000484103,THC2490320,"GO:0005739(mitochondrion)|GO:0005743(mitochondrial inner membrane)|GO:0005747(mitochondrial respiratory chain complex I)|GO:0006120(mitochondrial electron transport, NADH to ubiquinone)|GO:0006810(transport)|GO:0008137(NADH dehydrogenase (ubiquinone) activity)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0022904(respiratory electron transport chain)|GO:0070469(respiratory chain)","Homo sapiens NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 3, 9kDa (NDUFA3), mRNA [NM_004542]",chr19:54609251-54609310,hs|19q13.42,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 3, 9kDa",TRUE
1022_TXNDC5_81567,Q8NBS9,thioredoxin domain-containing protein 5 (endoplasmic reticulum resident protein 46) (er protein 46) (erp46) (thioredoxin-like protein p46),TXNDC5 TLP46 UNQ364/PRO700,432,function: possesses thioredoxin activity. has been shown to reduce insulin disulfide bonds. also complements protein disulfide-isomerase deficiency in yeast (by similarity). {eco:0000250}.,subcellular location: endoplasmic reticulum lumen {eco:0000255|prosite-prorule:pru10138}.,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TXNDC5,81567,Hs.150837,ENST00000439343,THC2483613,GO:0005783(endoplasmic reticulum)|GO:0005788(endoplasmic reticulum lumen)|GO:0006662(glycerol ether metabolic process)|GO:0006892(post-Golgi vesicle-mediated transport)|GO:0006916(anti-apoptosis)|GO:0009055(electron carrier activity)|GO:0015035(protein disulfide oxidoreductase activity)|GO:0016044(cellular membrane organization)|GO:0016853(isomerase activity)|GO:0043202(lysosomal lumen)|GO:0045454(cell redox homeostasis),"Homo sapiens thioredoxin domain containing 5 (endoplasmic reticulum) (TXNDC5), transcript variant 1, mRNA [NM_030810]",chr6:7882079-7882020,hs|6p24.3,thioredoxin domain containing 5 (endoplasmic reticulum),TRUE
1023_STRA13_201254,O14503,class e basic helix-loop-helix protein 40 (bhlhe40) (class b basic helix-loop-helix protein 2) (bhlhb2) (differentially expressed in chondrocytes protein 1) (dec1) (enhancer-of-split and hairy-related protein 2) (sharp-2) (stimulated by retinoic acid gene 13 protein),BHLHE40 BHLHB2 DEC1 SHARP2 STRA13,412,"function: transcriptional repressor involved in the regulation of the circadian rhythm by negatively regulating the activity of the clock genes and clock-controlled genes (pubmed:12397359, pubmed:18411297). acts as the negative limb of a novel autoregulatory feedback loop (dec loop) which differs from the one formed by the per and cry transcriptional repressors (per/cry loop) (pubmed:14672706). both these loops are interlocked as it represses the expression of per1/2 and in turn is repressed by per1/2 and cry1/2 (pubmed:15193144). represses the activity of the circadian transcriptional activator: clock-arntl/bmal1|arntl2/bmal2 heterodimer by competing for the binding to e-box elements (5'-cacgtg-3') found within the promoters of its target genes (pubmed:15560782). negatively regulates its own expression and the expression of dbp and bhlhe41/dec2 (pubmed:14672706). acts as a corepressor of rxr and the rxr-lxr heterodimers and represses the ligand-induced rxra and nr1h3/lxra transactivation activity (pubmed:19786558). may be involved in the regulation of chondrocyte differentiation via the camp pathway (pubmed:19786558). represses the transcription of nr0b2 and attentuates the transactivation of nr0b2 by the clock-arntl/bmal1 complex (pubmed:28797635). drives the circadian rhythm of blood pressure through transcriptional repression of atp1b1 in the cardiovascular system (pubmed:30012868). {eco:0000269|pubmed:12397359, eco:0000269|pubmed:14672706, eco:0000269|pubmed:15193144, eco:0000269|pubmed:15560782, eco:0000269|pubmed:18411297, eco:0000269|pubmed:19786558, eco:0000269|pubmed:28797635, eco:0000269|pubmed:30012868}.","subcellular location: cytoplasm {eco:0000269|pubmed:21829689}. nucleus {eco:0000269|pubmed:11278694, eco:0000269|pubmed:21829689, eco:0000269|pubmed:28797635}. note=predominantly localized in the nucleus (pubmed:11278694). {eco:0000269|pubmed:11278694}.","TISSUE SPECIFICITY: Expressed in cartilage, spleen, intestine, lung, and to a lesser extent in heart, brain, liver, muscle and stomach.",NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STRA13,201254,Hs.37616,ENST00000392359,THC2634741,"GO:0000712(resolution of meiotic recombination intermediates)|GO:0000775(chromosome, centromeric region)|GO:0003677(DNA binding)|GO:0003690(double-stranded DNA binding)|GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0005694(chromosome)|GO:0006281(DNA repair)|GO:0031297(replication fork processing)|GO:0031398(positive regulation of protein ubiquitination)|GO:0043240(Fanconi anaemia nuclear complex)|GO:0071821(FANCM-MHF complex)","Homo sapiens stimulated by retinoic acid 13 homolog (mouse) (STRA13), mRNA [NM_144998]",chr17:79976695-79976636,hs|17q25.3,stimulated by retinoic acid 13 homolog (mouse),TRUE
1024_NPEPPS_9520,P55786,puromycin-sensitive aminopeptidase (psa) (ec 3.4.11.14) (cytosol alanyl aminopeptidase) (aap-s),NPEPPS PSA,919,"function: aminopeptidase with broad substrate specificity for several peptides. involved in proteolytic events essential for cell growth and viability. may act as regulator of neuropeptide activity. plays a role in the antigen-processing pathway for mhc class i molecules. involved in the n-terminal trimming of cytotoxic t-cell epitope precursors. digests the poly-q peptides found in many cellular proteins. digests tau from normal brain more efficiently than tau from alzheimer disease brain. {eco:0000269|pubmed:10978616, eco:0000269|pubmed:11062501, eco:0000269|pubmed:17154549, eco:0000269|pubmed:17318184, eco:0000269|pubmed:19917696}.","subcellular location: cytoplasm, cytosol {eco:0000269|pubmed:10978616}. nucleus {eco:0000305}.","TISSUE SPECIFICITY: Detected in liver, epithelium of renal tubules, epithelium of small and large intestine, gastric epithelial cells, and alveoli of the lung (at protein level). {ECO:0000269|PubMed:10978616}.",NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NPEPPS,9520,Hs.443837,ENST00000544660,THC2470309,GO:0000209(protein polyubiquitination)|GO:0002474(antigen processing and presentation of peptide antigen via MHC class I)|GO:0004177(aminopeptidase activity)|GO:0005634(nucleus)|GO:0005737(cytoplasm)|GO:0005829(cytosol)|GO:0006508(proteolysis)|GO:0008233(peptidase activity)|GO:0008237(metallopeptidase activity)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)|GO:0071456(cellular response to hypoxia),"Homo sapiens aminopeptidase puromycin sensitive (NPEPPS), mRNA [NM_006310]",chr17:45699415-45699474,hs|17q21.32,aminopeptidase puromycin sensitive,TRUE
1025_YIPF6_286451,Q96EC8,protein yipf6 (yip1 family member 6),YIPF6,236,function: may be required for stable yipf1 and yipf2 protein expression. {eco:0000269|pubmed:28286305}.,"subcellular location: golgi apparatus membrane {eco:0000269|pubmed:27999994}; multi-pass membrane protein {eco:0000305}. note=evenly distributed between cis- and trans-golgi apparatus (pubmed:27999994). mainly localizes within medial-/trans-golgi and trans-golgi network (tgn), while less so within cis-golgi (pubmed:28286305). {eco:0000269|pubmed:27999994, eco:0000269|pubmed:28286305}.",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,YIPF6,286451,Hs.82719,ENST00000374643,THC2464562,GO:0005783(endoplasmic reticulum)|GO:0016020(membrane)|GO:0016021(integral to membrane),"Homo sapiens Yip1 domain family, member 6 (YIPF6), transcript variant A, mRNA [NM_173834]",chrX:67742695-67742754,hs|Xq12,"Yip1 domain family, member 6",TRUE
1026_CLIP1_6249,P30622,cap-gly domain-containing linker protein 1 (cytoplasmic linker protein 1) (cytoplasmic linker protein 170 alpha-2) (clip-170) (reed-sternberg intermediate filament-associated protein) (restin),CLIP1 CYLN1 RSN,1438,"function: binds to the plus end of microtubules and regulates the dynamics of the microtubule cytoskeleton. promotes microtubule growth and microtubule bundling. links cytoplasmic vesicles to microtubules and thereby plays an important role in intracellular vesicle trafficking. plays a role macropinocytosis and endosome trafficking. {eco:0000269|pubmed:12433698, eco:0000269|pubmed:17563362, eco:0000269|pubmed:17889670}.","subcellular location: cytoplasm {eco:0000305}. cytoplasm, cytoskeleton {eco:0000269|pubmed:17889670, eco:0000269|pubmed:21646404}. cytoplasmic vesicle membrane {eco:0000269|pubmed:12433698}; peripheral membrane protein; cytoplasmic side. cell projection, ruffle {eco:0000269|pubmed:12433698}. note=localizes to microtubule plus ends (pubmed:21646404, pubmed:17889670). localizes preferentially to the ends of tyrosinated microtubules (by similarity). accumulates in plasma membrane regions with ruffling and protrusions. associates with the membranes of intermediate macropinocytic vesicles (pubmed:12433698). {eco:0000250|uniprotkb:q922j3, eco:0000269|pubmed:12433698, eco:0000269|pubmed:17889670, eco:0000269|pubmed:21646404}.","TISSUE SPECIFICITY: Detected in dendritic cells (at protein level). Highly expressed in the Reed-Sternberg cells of Hodgkin disease. {ECO:0000269|PubMed:12433698, ECO:0000269|PubMed:1600942}.",NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,CLIP1,6249,Hs.524809,ENST00000392458,THC2466244,GO:0000087(M phase of mitotic cell cycle)|GO:0000236(mitotic prometaphase)|GO:0000278(mitotic cell cycle)|GO:0000776(kinetochore)|GO:0003676(nucleic acid binding)|GO:0005515(protein binding)|GO:0005737(cytoplasm)|GO:0005768(endosome)|GO:0005813(centrosome)|GO:0005829(cytosol)|GO:0005874(microtubule)|GO:0005881(cytoplasmic microtubule)|GO:0005882(intermediate filament)|GO:0007067(mitosis)|GO:0008017(microtubule binding)|GO:0008270(zinc ion binding)|GO:0015630(microtubule cytoskeleton)|GO:0031116(positive regulation of microtubule polymerization)|GO:0042803(protein homodimerization activity)|GO:0046872(metal ion binding)|GO:0051010(microtubule plus-end binding),"Homo sapiens CAP-GLY domain containing linker protein 1 (CLIP1), transcript variant 1, mRNA [NM_002956]",chr12:122756161-122756102,hs|12q24.31,CAP-GLY domain containing linker protein 1,TRUE
1027_SRSF7_6432,Q16629,"serine/arginine-rich splicing factor 7 (splicing factor 9g8) (splicing factor, arginine/serine-rich 7)",SRSF7 SFRS7,238,"function: required for pre-mrna splicing. can also modulate alternative splicing in vitro. represses the splicing of mapt/tau exon 10. may function as export adapter involved in mrna nuclear export such as of histone h2a. binds mrna which is thought to be transferred to the nxf1-nxt1 heterodimer for export (tap/nxf1 pathway); enhances nxf1-nxt1 rna-binding activity. rna-binding is semi-sequence specific. {eco:0000269|pubmed:11336712, eco:0000269|pubmed:12667464, eco:0000269|pubmed:15009664, eco:0000269|pubmed:18364396}.",subcellular location: nucleus {eco:0000269|pubmed:11336712}. cytoplasm {eco:0000269|pubmed:11336712}.,"TISSUE SPECIFICITY: Brain, liver, kidney and lung.",NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SRSF7,6432,Hs.309090,ENST00000415527,THC2550857,"GO:0000166(nucleotide binding)|GO:0000398(nuclear mRNA splicing, via spliceosome)|GO:0003723(RNA binding)|GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0005654(nucleoplasm)|GO:0005730(nucleolus)|GO:0006366(transcription from RNA polymerase II promoter)|GO:0006369(termination of RNA polymerase II transcription)|GO:0006397(mRNA processing)|GO:0006406(mRNA export from nucleus)|GO:0008270(zinc ion binding)|GO:0008380(RNA splicing)|GO:0010467(gene expression)|GO:0031124(mRNA 3'-end processing)|GO:0046872(metal ion binding)|GO:0048025(negative regulation of nuclear mRNA splicing, via spliceosome)","Homo sapiens serine/arginine-rich splicing factor 7 (SRSF7), transcript variant 1, mRNA [NM_001031684]",chr2:38975263-38975204,hs|2p22.1,serine/arginine-rich splicing factor 7,TRUE
1028_UBE2Z_65264,Q9H832,ubiquitin-conjugating enzyme e2 z (ec 2.3.2.23) (e2 ubiquitin-conjugating enzyme z) (uba6-specific e2 conjugating enzyme 1) (use1) (ubiquitin carrier protein z) (ubiquitin-protein ligase z),UBE2Z HOYS7,354,"function: catalyzes the covalent attachment of ubiquitin to other proteins (by similarity). specific substrate for uba6, not charged with ubiquitin by ube1. may be involved in apoptosis regulation. {eco:0000255|prosite-prorule:pru00388, eco:0000269|pubmed:17464193, eco:0000269|pubmed:17597759}.",subcellular location: cytoplasm {eco:0000269|pubmed:17160626}. nucleus {eco:0000269|pubmed:17160626}.,"TISSUE SPECIFICITY: Widely expressed. Highly in placenta, pancreas, spleen and testis. {ECO:0000269|PubMed:17160626, ECO:0000269|PubMed:17597759}.",NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,UBE2Z,65264,Hs.514297,ENST00000513342,THC2468879,GO:0000166(nucleotide binding)|GO:0004842(ubiquitin-protein ligase activity)|GO:0005524(ATP binding)|GO:0005634(nucleus)|GO:0005730(nucleolus)|GO:0005737(cytoplasm)|GO:0006915(apoptosis)|GO:0016874(ligase activity)|GO:0016881(acid-amino acid ligase activity),"Homo sapiens ubiquitin-conjugating enzyme E2Z (UBE2Z), mRNA [NM_023079]",chr17:47006292-47006351,hs|17q21.32,ubiquitin-conjugating enzyme E2Z,TRUE
1029_MRPL53_116540,Q96EL3,"39s ribosomal protein l53, mitochondrial (l53mt) (mrp-l53) (mitochondrial large ribosomal subunit protein ml53)",MRPL53,112,NA,"subcellular location: mitochondrion {eco:0000269|pubmed:25278503, eco:0000269|pubmed:25838379, eco:0000269|pubmed:28892042}.",NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,MRPL53,116540,Hs.534527,ENST00000468875,THC2462914,GO:0005739(mitochondrion)|GO:0005840(ribosome),"Homo sapiens mitochondrial ribosomal protein L53 (MRPL53), nuclear gene encoding mitochondrial protein, mRNA [NM_053050]",chr2:74699266-74699207,hs|2p13.1,mitochondrial ribosomal protein L53,TRUE
